"Nachname","Name","Geburtsjahr","Todesjahr"
"Winckelmann","Johann Joachim","1717","1768"
"Boehringer","Erich","1897","1971"
"Boni","Giacomo","1859","1925"
"Altekamp","Stefan","1959",""
"Beazley","John D.","1885","1970"
"Borbein","Adolf H.","1936",""
"Himmelmann","Nikolaus","1929","2013"
"Hölscher","Tonio","1940",""
"von Mercklin","Eugen","1884","1969"
